                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5347,                 5.5212,                 2.3394,                0.00183,                0.84615,                0.03177,                0.00854,                 2.5177,                  6.853,                 2.9388,                0.00036,                0.00036,                0.00036
                      1,                  1.765,                 3.4349,                 1.7975,                 0.0015,                0.69231,                0.18022,                0.02452,                 2.4879,                 7.0504,                 3.0577,             0.00071558,             0.00071558,             0.00071558
                      2,                 1.6411,                 2.9195,                 1.6535,                0.01184,                0.53846,                 0.0125,                0.00215,                 2.5922,                 7.6661,                 2.9693,              0.0010461,              0.0010461,              0.0010461
                      3,                 1.5254,                   2.73,                 1.5765,                0.13475,                0.46154,                0.08723,                0.02985,                 2.5641,                 7.8115,                 3.2387,              0.0013515,              0.0013515,              0.0013515
                      4,                 1.4828,                 2.6951,                 1.5634,                0.08597,                0.30769,                0.05064,                0.01483,                 2.4895,                 7.8624,                 3.3043,              0.0016318,              0.0016318,              0.0016318
                      5,                 1.5526,                 2.5893,                 1.6214,                0.94242,                0.38462,                0.45685,                0.13159,                 1.9899,                 5.4093,                 2.2315,                0.00167,                0.00167,                0.00167
                      6,                 1.5057,                 2.3922,                 1.5752,                0.26501,                0.23077,                0.18027,                0.11668,                 1.6908,                 3.9244,                 2.0759,                0.00167,                0.00167,                0.00167
                      7,                 1.5266,                 2.2682,                 1.5943,                0.14493,                0.30769,                0.15116,                0.07822,                 1.5675,                 6.3454,                 1.8386,               0.001604,               0.001604,               0.001604
                      6,                 1.5031,                 2.6581,                 1.5797,                      1,                0.52164,                0.55639,                0.28424,                 1.4753,                 3.8713,                 1.6557,                0.00167,                0.00167,                0.00167
                      7,                 1.4432,                 2.3336,                 1.5243,                0.60047,                0.53846,                0.49432,                0.24912,                 1.5931,                 3.2082,                 1.8049,               0.001604,               0.001604,               0.001604
                      8,                 1.2893,                 1.9806,                 1.4017,                0.57112,                0.38462,                0.38626,                 0.2197,                 1.5351,                 3.6894,                 1.6318,               0.001538,               0.001538,               0.001538
                      9,                 1.2437,                 1.9215,                 1.3468,                0.58872,                0.23077,                 0.2839,                0.16311,                 1.5773,                  5.082,                  1.687,               0.001472,               0.001472,               0.001472
                     10,                 1.2843,                 1.9156,                 1.3997,                0.56642,                0.23077,                0.26574,                0.18501,                 1.5685,                 4.7743,                 1.6693,               0.001406,               0.001406,               0.001406
                     11,                  1.235,                 1.7206,                 1.3785,                0.60967,                  0.482,                0.51408,                0.30849,                 1.5022,                 2.4282,                 1.7075,                0.00134,                0.00134,                0.00134
                     12,                 1.2802,                 1.7624,                 1.4477,                0.97734,                0.38462,                0.51476,                0.38316,                 1.2971,                 2.1436,                 1.5595,               0.001274,               0.001274,               0.001274
                     13,                 1.2034,                 1.6708,                 1.3692,                0.76877,                0.61538,                0.61894,                0.44491,                 1.0655,                 2.2852,                 1.4419,               0.001208,               0.001208,               0.001208
                     14,                 1.1959,                 1.5994,                 1.3483,                0.93759,                0.53846,                0.63085,                 0.4644,                 1.2287,                 2.0041,                 1.4816,               0.001142,               0.001142,               0.001142
                     15,                 1.1747,                 1.5847,                 1.3396,                0.70155,                0.46154,                0.55833,                0.36285,                 1.2563,                 1.9968,                 1.5369,               0.001076,               0.001076,               0.001076
                     16,                 1.1059,                 1.4542,                 1.2534,                0.79954,                0.61379,                0.64768,                0.49432,                 1.1335,                 1.6735,                 1.3252,                0.00101,                0.00101,                0.00101
                     17,                 1.0442,                 1.3312,                 1.2472,                0.98819,                0.53846,                0.57933,                0.46031,                 1.0898,                 1.7755,                  1.405,               0.000944,               0.000944,               0.000944
                     18,                   1.06,                 1.2949,                 1.2599,                0.74938,                0.53846,                0.64843,                0.50105,                 1.0393,                 1.7433,                 1.2828,               0.000878,               0.000878,               0.000878
                     19,                  1.039,                 1.2401,                 1.2313,                 0.9704,                0.53846,                0.68857,                0.54497,                 1.0171,                 1.4125,                 1.3366,               0.000812,               0.000812,               0.000812
